iter	Passed	Remaining
0	1	105
1	1	95
2	2	89
3	3	82
4	4	82
5	5	81
6	6	80
7	6	79
8	10	105
9	11	101
10	12	98
11	13	95
12	13	92
13	14	90
14	15	87
15	16	85
16	17	84
17	18	83
18	19	81
19	19	79
20	20	77
21	21	76
22	22	74
23	23	74
24	24	73
25	25	73
26	26	72
27	27	71
28	29	71
29	30	70
30	30	68
31	31	67
32	32	66
33	33	64
34	34	63
35	35	62
36	36	61
37	36	60
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	52
46	46	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	51	44
54	52	43
55	53	42
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	66	28
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	80	15
84	81	14
85	82	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
