iter	Passed	Remaining
0	160	159910
1	161	80579
2	162	54033
3	163	40714
4	164	32726
5	165	27386
6	166	23571
7	167	20710
8	168	18524
9	169	16799
10	172	15535
11	174	14389
12	177	13442
13	178	12598
14	180	11834
15	181	11138
16	182	10581
17	185	10094
18	186	9634
19	189	9271
20	190	8885
21	192	8542
22	193	8211
23	194	7899
24	195	7609
25	196	7368
26	200	7213
27	204	7091
28	206	6918
29	208	6727
30	210	6569
31	213	6452
32	216	6337
33	217	6186
34	218	6035
35	219	5885
36	220	5745
37	221	5611
38	222	5482
39	224	5382
40	225	5280
41	228	5216
42	231	5143
43	232	5053
44	233	4957
45	234	4862
46	235	4774
47	236	4696
48	238	4637
49	240	4569
50	241	4501
51	242	4429
52	243	4357
53	244	4287
54	245	4220
55	246	4155
56	247	4092
57	249	4047
58	250	4002
59	252	3959
60	255	3931
61	256	3887
62	257	3836
63	258	3785
64	259	3736
65	260	3688
66	261	3642
67	263	3604
68	264	3571
69	266	3539
70	267	3498
71	268	3457
72	269	3423
73	270	3387
74	271	3350
75	272	3314
76	273	3279
77	274	3244
78	275	3210
79	276	3176
80	277	3153
81	279	3127
82	280	3096
83	281	3067
84	284	3062
85	286	3044
86	287	3015
87	288	2987
88	289	2959
89	290	2932
90	290	2906
91	292	2888
92	294	2871
93	295	2851
94	296	2828
95	297	2804
96	298	2782
97	300	2762
98	301	2741
99	303	2731
100	304	2711
101	305	2693
102	307	2676
103	308	2662
104	311	2657
105	315	2664
106	317	2649
107	318	2634
108	320	2615
109	321	2599
110	323	2591
111	325	2579
112	327	2573
113	329	2564
114	331	2547
115	331	2529
116	332	2511
117	333	2494
118	334	2479
119	336	2470
120	339	2466
121	342	2468
122	348	2482
123	349	2469
124	354	2480
125	359	2493
126	361	2482
127	363	2478
128	366	2477
129	369	2474
130	372	2474
131	376	2476
132	379	2471
133	381	2462
134	385	2472
135	387	2464
136	391	2468
137	393	2457
138	394	2446
139	397	2439
140	398	2430
141	400	2422
142	403	2419
143	405	2409
144	407	2402
145	409	2394
146	411	2390
147	416	2396
148	420	2402
149	422	2391
150	423	2380
151	425	2373
152	428	2370
153	431	2368
154	435	2372
155	437	2368
156	443	2382
157	446	2377
158	448	2372
159	450	2365
160	451	2353
161	454	2349
162	458	2354
163	462	2356
164	465	2355
165	469	2359
166	472	2357
167	475	2352
168	478	2352
169	479	2340
170	480	2330
171	483	2325
172	485	2318
173	488	2317
174	489	2309
175	491	2298
176	492	2288
177	493	2278
178	494	2267
179	495	2257
180	497	2251
181	500	2249
182	503	2246
183	504	2236
184	505	2226
185	506	2216
186	507	2206
187	508	2196
188	510	2188
189	511	2182
190	514	2180
191	518	2180
192	524	2191
193	528	2196
194	532	2196
195	533	2188
196	534	2179
197	535	2170
198	536	2160
199	537	2151
200	539	2142
201	542	2141
202	544	2137
203	547	2134
204	549	2132
205	551	2124
206	552	2116
207	553	2107
208	555	2102
209	557	2098
210	559	2091
211	560	2084
212	562	2078
213	564	2071
214	565	2063
215	566	2055
216	567	2047
217	568	2038
218	570	2033
219	571	2027
220	573	2021
221	576	2020
222	578	2014
223	579	2006
224	580	1999
225	581	1992
226	582	1985
227	585	1981
228	587	1978
229	589	1974
230	591	1967
231	592	1960
232	593	1952
233	594	1945
234	595	1937
235	596	1929
236	597	1923
237	598	1917
238	601	1914
239	602	1909
240	605	1905
241	607	1901
242	608	1895
243	609	1888
244	610	1881
245	611	1874
246	612	1866
247	613	1860
248	615	1855
249	617	1852
250	618	1846
251	619	1840
252	620	1833
253	621	1826
254	622	1819
255	623	1812
256	624	1806
257	625	1800
258	626	1793
259	627	1786
260	629	1782
261	631	1777
262	632	1772
263	634	1769
264	636	1764
265	637	1759
266	638	1753
267	639	1747
268	640	1740
269	641	1734
270	642	1728
271	644	1724
272	646	1720
273	647	1714
274	648	1708
275	649	1703
276	650	1697
277	651	1691
278	652	1686
279	653	1681
280	655	1676
281	656	1671
282	662	1678
283	665	1677
284	668	1677
285	670	1673
286	671	1668
287	672	1662
288	674	1658
289	676	1656
290	677	1651
291	679	1647
292	680	1642
293	681	1637
294	682	1631
295	683	1626
296	685	1621
297	685	1615
298	687	1610
299	689	1607
300	694	1611
301	698	1614
302	700	1612
303	708	1621
304	711	1620
305	713	1617
306	716	1617
307	718	1614
308	729	1631
309	731	1627
310	758	1679
311	762	1682
312	765	1680
313	769	1680
314	771	1678
315	773	1674
316	776	1672
317	779	1671
318	783	1673
319	787	1672
320	790	1672
321	793	1671
322	795	1666
323	796	1662
324	799	1659
325	802	1658
326	804	1655
327	808	1656
328	810	1653
329	811	1648
330	813	1643
331	816	1642
332	820	1643
333	825	1646
334	827	1642
335	828	1637
336	831	1635
337	838	1641
338	840	1638
339	843	1637
340	844	1631
341	847	1631
342	849	1627
343	851	1624
344	852	1619
345	853	1613
346	854	1608
347	855	1603
348	856	1598
349	857	1593
350	858	1588
351	862	1587
352	867	1589
353	869	1586
354	870	1581
355	871	1576
356	872	1571
357	874	1568
358	876	1565
359	878	1560
360	879	1556
361	880	1551
362	881	1546
363	882	1541
364	883	1536
365	884	1531
366	885	1526
367	886	1522
368	887	1517
369	889	1513
370	890	1510
371	892	1506
372	894	1503
373	898	1503
374	899	1499
375	900	1495
376	902	1491
377	904	1488
378	907	1487
379	910	1485
380	912	1482
381	913	1477
382	914	1473
383	915	1469
384	916	1464
385	918	1461
386	921	1458
387	923	1456
388	928	1458
389	930	1455
390	931	1450
391	933	1447
392	937	1447
393	940	1446
394	942	1443
395	943	1439
396	945	1435
397	946	1431
398	948	1429
399	950	1426
400	952	1423
401	958	1425
402	960	1423
403	961	1419
404	963	1415
405	966	1414
406	969	1411
407	970	1408
408	971	1404
409	973	1400
410	974	1396
411	975	1392
412	976	1388
413	979	1386
414	986	1390
415	989	1389
416	991	1385
417	992	1381
418	995	1379
419	997	1377
420	999	1374
421	1000	1370
422	1002	1367
423	1003	1363
424	1006	1361
425	1010	1361
426	1013	1359
427	1018	1360
428	1033	1375
429	1035	1372
430	1036	1368
431	1040	1367
432	1044	1367
433	1047	1366
434	1051	1365
435	1053	1363
436	1058	1363
437	1061	1362
438	1063	1359
439	1066	1357
440	1067	1353
441	1071	1352
442	1077	1354
443	1084	1358
444	1090	1359
445	1093	1358
446	1095	1355
447	1097	1352
448	1099	1348
449	1107	1353
450	1110	1352
451	1115	1352
452	1118	1350
453	1121	1348
454	1123	1345
455	1124	1341
456	1125	1337
457	1126	1333
458	1127	1329
459	1128	1325
460	1131	1323
461	1137	1325
462	1143	1326
463	1148	1326
464	1151	1324
465	1153	1321
466	1155	1318
467	1156	1314
468	1157	1311
469	1159	1306
470	1161	1304
471	1162	1300
472	1164	1297
473	1170	1298
474	1171	1295
475	1172	1291
476	1174	1287
477	1176	1285
478	1179	1282
479	1181	1280
480	1182	1276
481	1184	1272
482	1185	1268
483	1186	1264
484	1187	1260
485	1188	1256
486	1193	1257
487	1196	1255
488	1199	1253
489	1201	1250
490	1203	1247
491	1204	1244
492	1206	1241
493	1208	1237
494	1210	1234
495	1211	1231
496	1212	1227
497	1213	1223
498	1214	1219
499	1215	1215
500	1216	1211
501	1217	1208
502	1220	1206
503	1224	1204
504	1225	1201
505	1227	1198
506	1229	1195
507	1230	1191
508	1231	1188
509	1232	1184
510	1234	1181
511	1237	1179
512	1239	1176
513	1240	1173
514	1242	1169
515	1243	1166
516	1244	1162
517	1245	1158
518	1246	1155
519	1247	1151
520	1248	1147
521	1250	1144
522	1252	1142
523	1254	1139
524	1257	1137
525	1258	1134
526	1259	1130
527	1261	1127
528	1262	1123
529	1263	1120
530	1266	1118
531	1268	1115
532	1270	1112
533	1271	1109
534	1273	1106
535	1274	1103
536	1275	1099
537	1276	1096
538	1278	1093
539	1280	1090
540	1283	1088
541	1286	1086
542	1287	1083
543	1288	1080
544	1289	1076
545	1290	1073
546	1291	1069
547	1293	1066
548	1295	1064
549	1297	1061
550	1298	1058
551	1300	1055
552	1301	1052
553	1302	1048
554	1303	1045
555	1304	1041
556	1305	1038
557	1307	1035
558	1309	1032
559	1311	1030
560	1313	1027
561	1316	1025
562	1317	1022
563	1318	1019
564	1319	1015
565	1320	1012
566	1322	1009
567	1324	1007
568	1326	1004
569	1328	1001
570	1329	998
571	1330	995
572	1331	991
573	1331	988
574	1333	985
575	1334	982
576	1335	978
577	1337	976
578	1339	974
579	1342	972
580	1345	970
581	1346	967
582	1348	964
583	1349	961
584	1351	958
585	1353	956
586	1355	953
587	1356	950
588	1358	947
589	1359	944
590	1361	941
591	1362	938
592	1363	935
593	1369	936
594	1375	936
595	1378	934
596	1381	932
597	1384	930
598	1386	928
599	1387	925
600	1389	922
601	1390	919
602	1392	916
603	1396	915
604	1400	914
605	1404	913
606	1405	910
607	1406	907
608	1410	905
609	1414	904
610	1416	902
611	1418	899
612	1419	896
613	1420	893
614	1423	891
615	1426	889
616	1430	887
617	1433	886
618	1435	883
619	1437	880
620	1440	879
621	1442	876
622	1445	874
623	1447	871
624	1448	868
625	1449	865
626	1450	862
627	1452	860
628	1457	859
629	1459	857
630	1461	854
631	1463	852
632	1464	849
633	1467	847
634	1470	845
635	1472	842
636	1474	840
637	1475	837
638	1476	834
639	1477	831
640	1479	828
641	1481	825
642	1483	823
643	1488	822
644	1491	821
645	1494	818
646	1496	816
647	1499	814
648	1501	812
649	1503	809
650	1505	806
651	1507	804
652	1510	802
653	1512	800
654	1515	798
655	1517	795
656	1519	793
657	1522	791
658	1526	789
659	1528	787
660	1530	784
661	1531	781
662	1532	778
663	1533	776
664	1534	773
665	1537	771
666	1545	771
667	1546	768
668	1548	766
669	1550	763
670	1553	761
671	1557	760
672	1558	757
673	1559	754
674	1561	751
675	1562	748
676	1563	745
677	1564	742
678	1566	740
679	1572	740
680	1575	737
681	1576	735
682	1577	732
683	1580	729
684	1582	727
685	1584	725
686	1586	722
687	1587	719
688	1588	717
689	1590	714
690	1591	711
691	1592	708
692	1593	705
693	1595	703
694	1597	701
695	1599	698
696	1602	696
697	1604	694
698	1605	691
699	1607	688
700	1610	687
701	1613	684
702	1615	682
703	1616	679
704	1617	676
705	1618	673
706	1619	671
707	1620	668
708	1621	665
709	1623	663
710	1625	660
711	1630	659
712	1632	657
713	1634	654
714	1635	651
715	1637	649
716	1639	647
717	1642	645
718	1644	642
719	1646	640
720	1647	637
721	1648	634
722	1649	631
723	1650	629
724	1652	626
725	1653	624
726	1659	623
727	1666	622
728	1669	620
729	1674	619
730	1676	616
731	1677	614
732	1678	611
733	1679	608
734	1681	606
735	1683	603
736	1686	601
737	1688	599
738	1692	597
739	1696	596
740	1701	594
741	1702	592
742	1704	589
743	1705	586
744	1706	584
745	1708	581
746	1709	578
747	1710	576
748	1712	573
749	1714	571
750	1718	569
751	1721	567
752	1722	565
753	1723	562
754	1725	559
755	1726	557
756	1728	554
757	1730	552
758	1732	550
759	1733	547
760	1734	544
761	1736	542
762	1737	539
763	1738	537
